tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0019074,"Laugh, Clown, Laugh",1928,73,Drama,7.5,2177
tt0019109,Lonesome,1928,69,"Comedy,Drama,Romance",7.7,2672
tt0019130,The Man Who Laughs,1928,110,"Drama,Horror,Mystery",7.6,8252
tt0019195,The Mysterious Lady,1928,96,"Drama,Romance",7.2,1480
tt0019237,Our Dancing Daughters,1928,85,Drama,6.7,2019
tt0019254,The Passion of Joan of Arc,1928,114,"Biography,Drama,History",8.1,61857
tt0019258,The Patsy,1928,78,"Comedy,Drama,Romance",7.5,2801
tt0019286,Storm Over Asia,1928,74,"Drama,War",7.0,2349
tt0019304,The Racket,1928,84,"Crime,Drama,Film-Noir",6.6,1631
tt0019344,Sadie Thompson,1928,97,Drama,7.2,2854
tt0019379,Show People,1928,83,"Comedy,Romance",7.6,4035
tt0019400,The Smart Set,1928,80,"Comedy,Romance,Sport",6.3,1078
tt0019412,Speedy,1928,85,"Action,Comedy,Family",7.6,4384
tt0019415,Spies,1928,90,"Romance,Thriller",7.5,4006
tt0019421,"Steamboat Bill, Jr.",1928,70,"Action,Comedy,Drama",7.8,16360
tt0019429,Street Angel,1928,102,Drama,7.3,2610
tt0019558,The Wedding March,1928,113,Drama,7.4,1927
tt0019563,West of Zanzibar,1928,65,"Drama,Horror,Mystery",7.2,2001
tt0019585,The Wind,1928,95,"Drama,Romance,Thriller",8.0,7291
tt0019591,A Woman of Affairs,1928,98,Drama,7.1,1738
tt0019611,Zvenigora,1928,109,"Drama,Fantasy",7.1,1186
tt0019644,Applause,1929,80,"Drama,Musical,Romance",7.1,1516
tt0019646,L'Argent,1928,195,"Drama,Romance",7.5,1172
tt0019649,Arsenal,1929,70,"Drama,War",7.1,2365
tt0019655,Asphalt,1929,94,"Crime,Drama,Romance",7.4,1714
tt0019702,Blackmail,1929,85,"Crime,Drama,Thriller",6.9,12222
tt0019729,The Broadway Melody,1929,100,"Drama,Musical,Romance",5.6,8166
tt0019735,Bulldog Drummond,1929,90,"Crime,Drama,Mystery",6.3,1355
tt0019760,Man with a Movie Camera,1929,68,Documentary,8.3,28394
tt0019777,The Cocoanuts,1929,96,"Comedy,Musical,Romance",6.8,8291
tt0019788,Coquette,1929,76,"Drama,Romance",5.5,2332
tt0019811,Desert Nights,1929,62,Drama,6.7,1254
tt0019823,Disraeli,1929,90,"Biography,Drama,History",6.1,1400
tt0019901,Woman in the Moon,1929,95,"Adventure,Comedy,Drama",7.3,3921
tt0019946,The Great Gabbo,1929,92,"Drama,Musical,Romance",6.0,1027
tt0019959,Hallelujah,1929,109,"Drama,Musical",6.7,2027
tt0019976,Hell's Heroes,1929,68,Western,7.2,1037
tt0019993,The Hollywood Revue of 1929,1929,130,"Comedy,Music",5.7,2281
tt0020018,In Old Arizona,1928,95,"Drama,Western",5.5,1321
tt0020030,The Iron Mask,1929,95,"Adventure,Drama,History",7.0,1419
tt0020062,The Kiss,1929,62,"Drama,Romance",6.8,1257
tt0020112,The Love Parade,1929,107,"Comedy,Musical,Romance",7.0,2657
tt0020122,Lucky Star,1929,100,"Drama,Romance",7.7,1551
tt0020142,The Manxman,1929,110,"Drama,Romance",6.2,3331
tt0020143,Marianne,1929,111,"Drama,Musical,Romance",6.0,1281
tt0020163,People on Sunday,1930,73,"Comedy,Drama,Romance",7.3,3598
tt0020269,Piccadilly,1929,92,"Crime,Drama",7.1,1880
tt0020286,A Throw of Dice,1929,74,"Adventure,Drama,Romance",6.5,1035
tt0020298,Queen Kelly,1929,101,Drama,7.1,3384
tt0020442,Spite Marriage,1929,76,Comedy,6.9,2537
tt0020451,Old and New,1929,121,Drama,7.2,1743
tt0020475,Diary of a Lost Girl,1929,79,Drama,7.8,4878
tt0020514,The Trespasser,1929,90,"Drama,Romance",6.5,1450
tt0020570,The White Hell of Pitz Palu,1929,75,"Action,Adventure,Drama",7.2,1120
tt0020620,Abraham Lincoln,1930,96,"Biography,Drama,War",5.6,1739
tt0020629,All Quiet on the Western Front,1930,152,"Drama,War",8.1,68459
tt0020640,Animal Crackers,1930,97,"Comedy,Family,Musical",7.4,15453
tt0020641,Anna Christie,1930,89,"Drama,Romance",6.5,3543
tt0020668,The Bat Whispers,1930,83,"Crime,Drama,Horror",6.3,1192
tt0020686,The Big House,1930,87,"Crime,Drama,Thriller",7.1,2645
tt0020691,The Big Trail,1930,125,"Adventure,Drama,Romance",7.2,4569
tt0020697,The Blue Angel,1930,104,"Drama,Music,Romance",7.7,16526
tt0020768,City Girl,1930,90,"Drama,Romance",7.7,3797
tt0020793,Escape from Dartmoor,1930,88,"Crime,Drama",7.6,1252
tt0020815,The Dawn Patrol,1930,108,"Action,Drama,War",7.1,2064
tt0020827,The Divorcee,1930,84,"Drama,Romance",6.7,3719
tt0020836,The Doorway to Hell,1930,78,"Crime,Drama",6.5,1342
tt0020876,Feet First,1930,93,"Adventure,Comedy,Family",6.7,1213
tt0020891,The Florodora Girl,1930,79,"Drama,Musical,Mystery",6.0,1391
tt0020902,Free and Easy,1930,92,"Comedy,Musical",5.5,1038
tt0020960,Hell's Angels,1930,127,"Drama,War",7.3,6122
tt0021015,Juno and the Paycock,1929,85,"Comedy,Drama",4.6,2575
tt0021025,King of Jazz,1930,99,"Comedy,Musical",6.7,1661
tt0021040,Ladies of Leisure,1930,99,"Drama,Romance",6.7,1419
tt0021079,Little Caesar,1931,79,"Action,Crime,Drama",7.2,14721
tt0021106,Madam Satan,1930,116,"Comedy,Drama,Musical",6.3,1268
tt0021128,Mary,1931,78,"Mystery,Thriller",5.7,1020
tt0021148,Min and Bill,1930,69,"Comedy,Drama",6.7,1913
tt0021153,Monte Carlo,1930,90,"Comedy,Musical,Romance",6.7,1448
tt0021156,Morocco,1930,92,"Drama,Romance",7.0,7674
tt0021165,Murder!,1930,92,"Crime,Mystery,Thriller",6.3,7087
tt0021189,Not So Dumb,1930,76,"Comedy,Romance",5.8,1156
tt0021281,Raffles,1930,72,"Adventure,Crime,Drama",6.4,1136
tt0021309,The Story of the Fox,1937,63,"Adventure,Animation,Comedy",7.6,1586
tt0021310,Romance,1930,76,"Drama,Romance",5.7,1043
tt0021331,The Blood of a Poet,1932,55,Fantasy,7.3,7488
tt0021375,Enthusiasm,1930,67,Documentary,6.8,1071
